OBJECTID,BikeAge,CrashDay,CrashHour,CrashLocation,Light,RoadCondition,RoadConfig,SpeedLimit,Weather
1,11,Tuesday,16,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
2,20,Friday,9,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
3,37,Monday,17,Non-Roadway,Dusk,Dry,"Two-Way, Not Divided",20 - 25  MPH,Cloudy
4,30,Friday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Cloudy
5,45,Friday,12,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
6,58,Wednesday,9,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
7,51,Saturday,19,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",50 - 55  MPH,Cloudy
8,13,Sunday,15,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
9,18,Monday,8,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Cloudy
10,39,Tuesday,9,Intersection-Related,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
11,19,Saturday,21,Non-Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
12,35,Tuesday,11,Non-Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
13,40,Wednesday,20,Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Divided, Unprotected Median",50 - 55  MPH,Clear
14,31,Wednesday,15,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
15,10,Friday,14,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
16,31,Friday,8,Intersection,Daylight,Wet,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Rain
17,10,Saturday,13,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
18,49,Saturday,6,Non-Intersection,Dark - Roadway Not Lighted,Wet,"Two-Way, Not Divided",50 - 55  MPH,Cloudy
19,6,Saturday,13,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
20,31,Saturday,13,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
21,30,Monday,19,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
22,54,Monday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
23,40,Friday,17,Non-Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
24,33,Saturday,11,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
25,8,Tuesday,17,Non-Intersection,Dusk,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
26,13,Tuesday,17,Non-Intersection,Dusk,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
27,60,Tuesday,16,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
28,21,Tuesday,8,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
29,42,Tuesday,8,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
30,51,Tuesday,23,Intersection-Related,Dark - Lighted Roadway,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
31,50,Thursday,11,Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
32,12,Friday,19,Non-Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
33,18,Saturday,10,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
34,10,Sunday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
35,14,Monday,16,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
36,17,Friday,19,Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Cloudy
37,11,Friday,18,Intersection-Related,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
38,28,Saturday,20,Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
39,47,Monday,17,Non-Intersection,Daylight,Dry,Unknown,Unknown,Clear
40,49,Tuesday,18,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
41,22,Friday,15,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",50 - 55  MPH,Clear
42,46,Friday,12,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Positive Median Barrier",60 - 75 MPH,Clear
43,21,Monday,23,Non-Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
44,22,Friday,13,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
45,32,Friday,11,Intersection-Related,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
46,36,Sunday,18,Non-Intersection,Dark - Roadway Not Lighted,Wet,"Two-Way, Not Divided",50 - 55  MPH,Cloudy
47,60,Sunday,15,Intersection,Daylight,Wet,"Two-Way, Not Divided",30 - 35  MPH,Cloudy
48,36,Friday,15,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
49,31,Friday,23,Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",5 - 15 MPH,Clear
50,6,Monday,12,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
51,36,Wednesday,11,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Divided, Unprotected Median",50 - 55  MPH,Clear
52,999,Wednesday,18,Non-Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
53,52,Wednesday,18,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
54,52,Monday,20,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
55,16,Saturday,0,Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
56,46,Saturday,13,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
57,18,Monday,19,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
58,38,Monday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
59,23,Monday,14,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
